split,v0,theta_deg,drag,range
0,4.58275137290179728e+01,5.82255406132559585e+01,5.57068127118232406e-02,2.39742084572112049e+01
0,7.65324587428154643e+01,4.72113948993388135e+01,6.52060716832861178e-03,1.74071160093747665e+02
2,2.00911728903743594e+01,6.19821085934295226e+01,7.02521084937611368e-02,1.11869523528077668e+01
0,7.64054612996070688e+01,7.28320241574991059e+01,3.14666843882506625e-02,2.91673652753724895e+01
0,3.18282016407339832e+01,4.20474481899919681e+01,4.61895844780342013e-02,2.70221783428468321e+01
0,3.96328514280803006e+01,1.22945973934699726e+01,1.07404292538797828e-02,4.54108334255652863e+01
2,6.79391815674309214e+01,6.36829264628966172e+01,5.30964415846276946e-02,2.56577779482581754e+01
0,3.86439395458412918e+01,4.21310380731449499e+01,5.55455927921003623e-02,2.70402035073238203e+01
0,4.84715581371141653e+01,6.47799910964445758e+01,3.63204131963692431e-02,2.90352708747098838e+01
0,1.19291379270147857e+01,6.97491981050213496e+01,4.20573632064873068e-02,6.30239804937717540e+00
0,6.27459176072364642e+01,1.53806330267864269e+01,4.75021191172346341e-02,3.66188604716500308e+01
0,4.76700319253494769e+01,3.78701670777182500e+01,5.44371947854480204e-02,3.15515932467613567e+01
2,3.30812201549364531e+01,6.18400742308133644e+01,3.63893452429506145e-02,2.48490913686609289e+01
2,6.51900092399882993e+01,4.16185630365952903e+01,1.31227546540677240e-02,1.02752467498692539e+02
1,3.12236380504151505e+01,4.15952766753355831e+01,5.64006364844624464e-02,2.34174928963461504e+01
0,4.17448522636456048e+01,4.34983330116683788e+01,5.26694012378331050e-02,2.91180393201946508e+01
0,1.93829188073015324e+01,7.91910592115586667e+01,3.80108913034109472e-02,6.85253835130129740e+00
0,3.82179090512990456e+01,2.67964463292354793e+01,1.27257299061137984e-02,6.18541953935928532e+01
1,2.42418668473304741e+01,2.14227298409417841e+01,9.76297515438001411e-03,3.18861894689482277e+01
1,2.83619338309294662e+01,6.37135909345067830e+01,4.26478123203643394e-02,1.91018282989620829e+01
0,6.25255270841036790e+01,6.87601969890731368e+01,1.58176307024757261e-02,5.37664743228631465e+01
0,2.96286130590227934e+01,1.31941499126582471e+01,2.72331876599994681e-03,3.65183827921091577e+01
0,4.39633682102144547e+01,5.29319052707658741e+01,2.49185182435940275e-02,4.60264461461233907e+01
0,7.86516039860866982e+01,7.00109718846571667e+01,3.38275988765589092e-02,3.16331816932452625e+01
0,7.73160035564650769e+01,6.02717218886971153e+01,6.42624754102371493e-02,2.49312645921375093e+01
0,6.07352958541473527e+01,2.03139219929085257e+01,3.53048913251422652e-02,4.74810509245140011e+01
2,4.78858798883203960e+01,2.17571216216081353e+01,1.90485627783972232e-02,5.94575208364683476e+01
2,2.93823842831759592e+01,4.12083023947359521e+01,1.87755790340124046e-02,4.18354627751071177e+01
1,2.12456406142588818e+01,3.61350807432813355e+01,2.03560694227021693e-02,2.71961464962717727e+01
1,7.78947789251292733e+01,2.17762665457413824e+01,6.27154780325572536e-02,3.53807306996652073e+01
1,4.61248009883515095e+01,4.63197223077615945e+01,7.43850822767234549e-02,2.29371917861263128e+01
0,1.81105928729539229e+01,2.32856379983561688e+01,4.69451923168417093e-02,1.39487445283102041e+01
0,5.36442828876250317e+01,1.53721012840283251e+01,4.03274089412053657e-02,3.69228286162820964e+01
2,6.43678180039608492e+01,4.43159959979269331e+01,1.79646872380973474e-02,8.08467499670706502e+01
1,5.29102310737128292e+01,7.57641680869943741e+01,6.63889754507157731e-02,1.15936471641993695e+01
0,7.42108393353631897e+01,2.07097284296445387e+01,4.59094379610690134e-02,4.40154223183216686e+01
0,1.27715013664941992e+01,2.39144252048465020e+01,8.10480172073364466e-03,1.12981856367174860e+01
0,4.70012484282015137e+01,4.57585647135400322e+01,4.70661956762004549e-02,3.31514445902488433e+01
2,4.21535118019782615e+01,7.63676210262572965e+01,3.26884755285121315e-02,1.73689280002348525e+01
0,1.43644705404912916e+01,4.16075276396969542e+01,3.70944633500001758e-02,1.33365918166701469e+01
0,5.48929718397562496e+01,2.47560770570852640e+01,2.79324036790506193e-02,5.42967143624300377e+01
0,6.96842986936459710e+01,5.02415493442069732e+01,1.46682786086670802e-02,9.22634507746520569e+01
0,5.15058712672998809e+01,3.25940386333067664e+01,5.64273953862552274e-02,3.23916992476277557e+01
2,2.82068213416056253e+01,1.80378354974921500e+01,7.88901959597641395e-02,1.54233274032420304e+01
0,6.87917064721986122e+01,5.40180337425749499e+01,2.54777989177932271e-03,2.41014427656835579e+02
0,4.56647117065056563e+01,4.04116745501384500e+01,4.91084871451990812e-02,3.28867865058666524e+01
0,4.57622219126573100e+01,7.69085683256936363e+01,3.61965621640987847e-02,1.62798494210132425e+01
0,6.27121145391524522e+01,3.68878731936865236e+01,4.97802122994299781e-02,3.88856233374693616e+01
0,2.03545425049469593e+01,2.06918007243926851e+01,5.50531248933227996e-02,1.42314280154479125e+01
1,6.73738703383493913e+01,3.26465033924865224e+01,6.50835608703941308e-04,3.52409039071448433e+02
0,5.78300834202280001e+01,4.35093777976789369e+01,6.76775351774351330e-02,2.80590596257264373e+01
0,6.50967859088360683e+01,3.02772127717069139e+01,1.55384235483655257e-02,9.28575966810564779e+01
1,2.34131381314094682e+01,3.96523055710534678e+01,6.54493717336469133e-02,1.72737041874295230e+01
1,6.61654912794170968e+01,5.94115777032594252e+01,7.14571768848661915e-02,2.20692960444814830e+01
1,2.33926748240040183e+01,6.35488939347555544e+01,7.08313353519413325e-02,1.20026595924295485e+01
0,1.57086832154458911e+01,5.13964977650281085e+01,5.48717325850546292e-02,1.21069135635660690e+01
1,6.98658882000949149e+01,4.37385229325268128e+01,5.59798216350747696e-02,3.53240406589858864e+01
0,7.02898447324367908e+01,1.80125216967244093e+01,7.96503782305539726e-02,2.70306492997888732e+01
2,7.13575967491606349e+01,5.67671370042600927e+01,2.29730290053653096e-03,2.52272438510485330e+02
0,4.30336803551153153e+01,2.62092399940381249e+01,6.74933566264411394e-02,2.53382254697177309e+01
0,2.91833872029602794e+01,6.17301443071525568e+01,4.94889564542140351e-02,1.86239793761928603e+01
0,1.04964280022216379e+01,7.68114273190810337e+01,7.60233695241019497e-02,2.99398120140646329e+00
2,5.52004626902463471e+01,6.98135614744624888e+01,7.32465057124915969e-02,1.46896475540540425e+01
1,6.03936568456085112e+01,2.92699801837149032e+01,7.24627641246782667e-03,1.35057257134254741e+02
0,6.84898451550191965e+01,4.24325960861236879e+01,4.79011083864507303e-02,4.02685523867734432e+01
0,2.97314479155179505e+01,4.11370500546229678e+01,3.54648933921310056e-02,3.02540226874696465e+01
0,2.50652717014081503e+01,6.38699188585592665e+01,2.21179551102096035e-02,2.45352381399047061e+01
0,5.47531966046611487e+01,3.92414767862639309e+01,1.39240060955447397e-02,8.78027110060238130e+01
0,6.63538383201506861e+01,3.46666300870874267e+01,7.08267292836567679e-03,1.53547703395160966e+02
0,7.74569610991479607e+01,5.11354232880725732e+01,8.38405961118636120e-03,1.43318288893220995e+02
2,2.05367381294824227e+01,4.99026145540685491e+01,3.78670152580702218e-02,1.95279846644975770e+01
0,4.37548671739535564e+01,6.90638632619788666e+01,1.83710275844268349e-02,3.79364525363732241e+01
2,7.26301103537321353e+01,7.48932566920379799e+01,1.49369321039612146e-02,4.56856897093495746e+01
0,3.95901834861806066e+01,7.00626643317433775e+01,6.03988656024962989e-02,1.47786569257420553e+01
0,5.12651443458833640e+01,7.93123142708532498e+01,2.84475631323167577e-03,6.24027530684976313e+01
0,1.17143474245354238e+01,5.02655300186058156e+01,7.52574067400349628e-02,7.60562551218412164e+00
1,5.71421921007057279e+01,3.89298595236526808e+01,2.21483282084782296e-02,6.68638279472674384e+01
0,7.43362033743675710e+01,5.95292063140911054e+01,1.14201252550344629e-03,3.27692666484738481e+02
0,6.78777730689704697e+01,7.07961418375352594e+01,1.36990264693718188e-02,5.75813766579821547e+01
2,7.19864186696962634e+01,5.99110028177718661e+01,4.55007716320226796e-02,3.29090122717755307e+01
0,5.62248766364366332e+01,5.04428188923674625e+01,6.24003182298594194e-02,2.73976940236896098e+01
0,2.71886587070224301e+01,2.13869612035566661e+01,3.73183106883956048e-02,2.38160088827386538e+01
0,6.37961899227378026e+01,6.06855800910935059e+01,5.77202779962418047e-02,2.53240958508438503e+01
1,2.48172319825257368e+01,7.36359106707797935e+01,7.47811181577540812e-02,8.21176268986780400e+00
0,6.81892384265122757e+01,4.22016303529673067e+01,4.55496795449913811e-02,4.19366304099924889e+01
0,1.43902545799537762e+01,7.07938655280205467e+01,5.51661450207379944e-02,6.91999810482392785e+00
0,6.77841469375489112e+01,5.15331117517479385e+01,4.13197062195216555e-02,4.07386600869750808e+01
2,2.15155086531870907e+01,2.85849154999151338e+01,1.10563634166256365e-04,3.91506528603034383e+01
0,3.62602897547649263e+01,7.86211460950283083e+01,6.32228794434563923e-02,8.33294037396220766e+00
0,3.21716716589874991e+01,6.20736737746132263e+01,3.69968125409549792e-02,2.39586927400960263e+01
0,5.83935924694418915e+01,7.85667644740648825e+01,9.72668234874592315e-03,4.15857635738442610e+01
0,2.25000314722060324e+01,5.27037153099904643e+01,6.12106539299693692e-02,1.57966696333814891e+01
2,3.77379313551890476e+01,6.20245957516161610e+01,7.27730227932622299e-03,6.66236193693717809e+01
1,1.04077216575586657e+01,2.92072568211050978e+01,4.64539324007215981e-02,7.08674844464121811e+00
0,2.83746298925071052e+01,4.70137832629236669e+01,5.20497342703986621e-02,2.22377556770613651e+01
0,3.94832169960268686e+01,3.69057312191032878e+01,4.22906118322992422e-02,3.38908610658901566e+01
1,1.74144865695127109e+01,5.80071039353769535e+01,1.26962893732089025e-03,2.67148737560905971e+01
0,5.43211962225590455e+01,7.59787229723201563e+01,7.46581842094332648e-02,1.04619924696659758e+01
1,3.66296988920572630e+01,4.90540322023711539e+01,1.48027212364285447e-02,5.65912847150171814e+01
0,6.07705756653367217e+01,1.04691526920837052e+01,4.58346651524604645e-02,3.25547824893862980e+01
1,5.57706207747876093e+01,3.21021324122786353e+01,6.79403601049995282e-02,2.91697117227562295e+01
0,4.01858724144184336e+01,4.77562808424652516e+01,2.75923616221220684e-02,4.29286261088069310e+01
0,7.07124353949539426e+01,6.54928539312940643e+01,3.63949946975682601e-02,3.37101482832363573e+01
0,5.42494582250116935e+01,5.09604592990876881e+01,5.01948394746259130e-02,3.18871702413606073e+01
0,6.67192046474409324e+01,2.40349248879095860e+01,5.47478511026948042e-02,3.71715844576878567e+01
0,3.39256306758079091e+01,5.26071747873607691e+01,3.04995560233256580e-02,3.36087564661107052e+01
2,4.80568502767918915e+01,7.14973045309465931e+01,5.82636890056408632e-02,1.56124269665855770e+01
0,2.37407819580327377e+01,4.63760331782236435e+01,2.91364203265171359e-02,2.65268129569750428e+01
0,7.97298833083039540e+01,6.91276755511717340e+01,2.57410156681459612e-02,4.12113422236776543e+01
0,2.70250825014428990e+01,4.75740784371218552e+01,5.06960825812273544e-02,2.16915508356040831e+01
0,2.79807227058971932e+01,1.43666451142509644e+01,1.54959565240353567e-02,2.73780382832829723e+01
0,1.51233050673676175e+01,7.81834805135254669e+01,5.86592335253603436e-02,4.64415628789813351e+00
2,2.80462183297715590e+01,1.31034584537326637e+01,4.71586478613488652e-03,3.13460087272831096e+01
0,6.34189972780837223e+01,2.95207456572995639e+01,7.13243846918336691e-04,2.99096340957269319e+02
0,5.88525499478156959e+01,5.54788848105341117e+01,1.29251209217607684e-02,8.36352056093562766e+01
0,1.90071248622018629e+01,6.70012492296038005e+01,5.32721393542174501e-02,1.08400820043011610e+01
