rank,world_size,hostname,local_rank,local_size,cpu_affinity,logical_cpus,physical_cores,omp_threads,visible_gpus,assigned_gpu,gpu_model,gpu_capability,gpu_memory_bytes,scheduler_allocation,cuda_visible_devices,mpi_thread_support,role
0,2,"SupremeCommander",0,2,"0",1,12,1,1,-1,"","",0,"none","",1,master
1,2,"SupremeCommander",1,2,"1:2:3:4:5:6:7:8:9:10:11:12:13:14:15:16:17:18:19",19,12,19,1,-1,"","",0,"none","",1,cpu-worker
